timestamp,src_ip,dst_ip,label
2026-08-27T11:44:53.675597+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:44:59.180093+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:45:05.034381+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:45:10.563544+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:45:16.461251+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:45:20.065155+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:45:25.918518+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:45:29.820555+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:45:34.597714+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:45:39.479861+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:45:44.465908+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:45:48.863094+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:45:52.267073+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:45:55.498767+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:46:01.032498+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T11:48:33.331919+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:48:37.299260+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:48:41.062216+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:48:45.170494+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:48:49.145762+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:48:54.778502+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:48:58.262439+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:49:03.560157+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:49:09.068577+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:49:15.167195+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:49:18.626344+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:49:22.646593+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:49:26.618626+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:49:30.440199+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:49:36.732900+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:49:40.723720+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T11:51:56.899996+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:52:00.608252+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:52:04.383027+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:52:07.997143+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:52:14.073762+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:52:19.609918+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:52:25.053306+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:52:28.254209+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:52:31.557449+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:52:35.080498+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:52:38.536893+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:52:42.505738+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:52:46.396695+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:52:52.815914+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:52:56.739952+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T11:53:02.811561+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:07:28.517019+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:07:32.142194+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:07:37.442682+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:07:43.229140+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:07:46.542426+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:07:50.490402+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:07:56.511591+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:07:59.936753+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:08:03.349645+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:08:08.172691+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:08:11.355704+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:08:16.197626+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:08:21.156860+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:08:24.634799+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:08:29.998176+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:08:35.249173+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-27T12:11:05.360259+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:11:11.715497+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:11:15.695461+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:11:19.763249+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:11:23.655582+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:11:27.096513+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:11:32.382310+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:11:37.663259+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:11:41.327577+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:11:44.849118+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:11:48.363897+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:11:52.215711+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:11:56.061784+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:12:00.018166+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:12:03.788742+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:12:07.263974+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-27T12:14:23.057590+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:14:27.084802+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:14:30.816648+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:14:37.022304+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:14:40.970779+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:14:44.216521+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:14:49.388731+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:14:54.686199+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:15:00.334759+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:15:04.335248+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:15:08.282180+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:15:14.454971+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:15:18.475538+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:15:22.540046+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:15:26.562048+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-27T12:15:32.647913+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:17:06.298550+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:17:09.686215+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:17:15.015103+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:17:18.451042+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:17:21.801980+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:17:25.504766+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:17:28.945569+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:17:32.903128+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:17:38.776487+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:17:43.257123+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:17:47.960062+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:17:52.736841+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:17:55.882569+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:18:01.486903+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:18:06.578540+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:18:09.766982+00:00,172.16.123.128,10.10.10.1,ssh-brute
2026-08-31T04:20:40.746686+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:20:44.594091+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:20:50.740184+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:20:54.848309+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:20:58.902074+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:21:02.388521+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:21:06.128068+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:21:11.474870+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:21:16.780953+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:21:20.800933+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:21:24.705683+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:21:28.459014+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:21:32.292525+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:21:36.486047+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:21:40.624658+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:21:44.393096+00:00,172.16.123.128,10.10.10.101,ssh-brute
2026-08-31T04:23:58.947339+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-31T04:24:04.808501+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-31T04:24:08.862066+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-31T04:24:12.580993+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-31T04:24:16.308219+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-31T04:24:19.697609+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-31T04:24:24.927797+00:00,172.16.123.128,10.10.10.103,ssh-brute
2026-08-31T04:24:30.475887+00:00,172.16.123.128,10.10.10.103,ssh-brute
