timestamp,src_ip,dst_ip,label
2026-08-07T07:45:20.208279+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.208993+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.209146+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.210332+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.210526+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.218497+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.219270+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.219570+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.219736+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.220687+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.220932+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.359088+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.359274+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.359457+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.360374+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.361270+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.369477+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.370671+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.371091+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.371384+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.372805+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.373097+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.510691+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.510793+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.510937+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.511744+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.511966+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.512288+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.512435+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.521822+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.521996+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.522485+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.523132+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.523365+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.523606+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.524173+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.524429+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.524585+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.662778+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.663117+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.664020+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.665352+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.673282+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.674077+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.674723+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.674956+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.675278+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.675715+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.675887+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.813979+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:20.814342+00:00,192.168.64.129,10.10.10.102,Bonet
